Lower,Upper,Span,Span_round
3.7,10.7,6.999999999999999,7.0
3.5,10.5,7.0,7.0
3.6,10.8,7.200000000000001,7.0
3.5,11.5,8.0,8.0
3.5,10.9,7.4,7.5
3.5,11.0,7.5,7.5
3.5,12.0,8.5,8.5
3.7,11.0,7.3,7.5
3.6,10.6,7.0,7.0
3.7,10.4,6.7,6.5
3.4,11.2,7.799999999999999,8.0
3.5,11.6,8.1,8.0
3.6,10.4,6.800000000000001,7.0
3.7,10.9,7.2,7.0
3.8,11.1,7.3,7.5
3.7,10.5,6.8,7.0
3.8,10.4,6.6000000000000005,6.5
3.6,10.6,7.0,7.0
3.6,11.1,7.5,7.5
3.5,10.3,6.800000000000001,7.0
3.5,10.8,7.300000000000001,7.5
3.6,11.5,7.9,8.0
3.7,11.0,7.3,7.5
3.6,11.6,8.0,8.0
3.5,11.2,7.699999999999999,7.5
3.6,10.9,7.300000000000001,7.5
3.6,11.0,7.4,7.5
3.5,10.5,7.0,7.0
3.5,10.5,7.0,7.0
3.6,10.9,7.300000000000001,7.5
