Lower,Upper,Span,Span_round
3.5,10.0,6.5,6.5
3.7,12.5,8.8,9.0
3.6,11.5,7.9,8.0
3.3,12.0,8.7,8.5
3.6,12.5,8.9,9.0
3.6,11.0,7.4,7.5
3.5,11.2,7.699999999999999,7.5
3.4,11.3,7.9,8.0
3.6,11.7,8.1,8.0
3.5,11.6,8.1,8.0
3.6,12.7,9.1,9.0
3.5,12.5,9.0,9.0
3.4,12.2,8.799999999999999,9.0
3.4,12.0,8.6,8.5
3.3,11.9,8.600000000000001,8.5
3.5,11.6,8.1,8.0
3.6,12.5,8.9,9.0
3.5,12.0,8.5,8.5
3.7,10.8,7.1000000000000005,7.0
3.6,11.5,7.9,8.0
3.6,11.7,8.1,8.0
3.5,12.0,8.5,8.5
3.6,13.4,9.8,10.0
3.6,12.4,8.8,9.0
3.6,11.8,8.200000000000001,8.0
3.4,12.3,8.9,9.0
3.5,11.5,8.0,8.0
3.6,12.3,8.700000000000001,8.5
3.6,12.8,9.200000000000001,9.0
3.6,12.3,8.700000000000001,8.5
